idPlayer,nomePlayer,team_id,team_name,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,clube_nome
20341,Taison,1018,Internacional,"{'CA': 1, 'DS': 3, 'FC': 2, 'FD': 1, 'FF': 1, 'FS': 5, 'PI': 9}",62114.0,8.0,285,4.0,6.0,0.0,4.9,0.51,1.87,3.0,3.58,taison,Taison,Taison,Taison Barcellos Freda,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,Internacional
39299,Gabriel,1018,Internacional,"{'CA': 1, 'DS': 18, 'FC': 13, 'FF': 1, 'FS': 7, 'PI': 20}",78605.0,8.0,285,4.0,6.0,0.0,5.46,0.0,3.17,6.0,4.87,gabriel,Gabriel,Gabriel,Gabriel Girotto Franco,https://s.glbimg.com/es/sde/f/2022/04/02/f20a9f6c8c6edb72777759bc796aaa64_FORMATO.png,Internacional
72062,Bruno Méndez,1018,Internacional,"{'DS': 4, 'FC': 3, 'FD': 1, 'FF': 1, 'FS': 1, 'PI': 13, 'SG': 1}",103700.0,8.0,285,3.0,6.0,0.0,3.73,0.24,2.02,5.0,1.83,bruno-mendez,Bruno Méndez,B. Méndez,Bruno Méndez Cittadini,https://s.glbimg.com/es/sde/f/2022/04/02/73cb329583e38958858211f3a7eb8ecd_FORMATO.png,Internacional
42943,Carlos de Pena,1018,Internacional,"{'A': 2, 'CA': 2, 'DS': 12, 'FC': 8, 'FD': 4, 'FF': 6, 'FS': 5, 'G': 1, 'PI': 96}",87242.0,8.0,285,5.0,7.0,0.0,5.34,-0.44,3.81,8.0,2.76,carlos-de-pena,Carlos de Pena,C. Pena,Carlos María de Pena Bonino,https://s.glbimg.com/es/sde/f/2022/04/02/d2010e9182e074fe4a26c1c6d39304dc_FORMATO.png,Internacional
66245,Liziero,1018,Internacional,"{'DS': 3, 'FC': 4, 'FS': 2, 'PI': 15}",100761.0,8.0,285,4.0,6.0,0.0,4.04,0.0,0.95,2.0,0.93,liziero,Liziero,Liziero,Igor Matheus Liziero Pereira ,https://s.glbimg.com/es/sde/f/2022/04/02/68d5b0b8c93444cf3f88161d109fe461_FORMATO.png,Internacional
55189,Daniel,1018,Internacional,"{'CA': 1, 'DE': 29, 'FS': 1, 'GS': 8, 'SG': 2}",96468.0,8.0,285,1.0,7.0,0.0,7.63,0.3,3.81,8.0,2.6,daniel,Daniel,Daniel,Daniel de Sousa Brito,https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png,Internacional
10433,Muriqui,1256,Avaí,"{'A': 1, 'CA': 1, 'DS': 11, 'FC': 7, 'FD': 1, 'FF': 1, 'FS': 11, 'FT': 1, 'G': 2, 'I': 3, 'PI': 17, 'PS': 1}",38225.0,8.0,314,5.0,7.0,0.0,10.14,-0.61,6.77,6.0,1.7,muriqui,Muriqui,Muriqui,Luiz Guilherme da Conceição Silva,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,Avaí
64659,Raniele,1256,Avaí,"{'CA': 2, 'DS': 18, 'FC': 11, 'FD': 2, 'FF': 2, 'FS': 24, 'G': 1, 'PI': 51, 'PS': 1}",95556.0,8.0,314,4.0,7.0,0.0,10.13,0.71,4.53,8.0,4.06,raniele,Raniele,Raniele,Raniele Almeida Melo,https://s.glbimg.com/es/sde/f/2022/02/24/141b440d404a99f92d79a5e2f9d83c83_FORMATO.png,Avaí
28885,Bressan,1256,Avaí,"{'CA': 1, 'DS': 10, 'FC': 6, 'FF': 2, 'FS': 2, 'FT': 1, 'PI': 33, 'SG': 2}",72491.0,8.0,314,3.0,6.0,0.0,7.11,-0.06,3.07,7.0,1.76,bressan,Bressan,Bressan,Matheus Simonete Bressanelli,https://s.glbimg.com/es/sde/f/2022/03/08/0759780a94f5359aefe723b749494c0b_FORMATO.png,Avaí
81126,Arthur Chaves,1256,Avaí,"{'CA': 2, 'DS': 14, 'FC': 8, 'FD': 1, 'FS': 6, 'PC': 1, 'PI': 26, 'SG': 2}",111412.0,8.0,314,3.0,7.0,0.0,5.72,1.18,2.88,8.0,4.33,arthur-chaves,Arthur Chaves,A. Chaves,Arthur Largura Chaves,https://s.glbimg.com/es/sde/f/2022/02/21/6102697e6547301f26bd68d36caacf40_FORMATO.png,Avaí
43513,Morato,1256,Avaí,"{'A': 1, 'CV': 1, 'DS': 8, 'FC': 14, 'FD': 3, 'FF': 6, 'FS': 16, 'G': 2, 'I': 2, 'PI': 24}",86227.0,8.0,314,5.0,7.0,0.0,12.26,1.42,5.31,7.0,5.85,morato,Morato,Morato,Andrew Erik Feitosa,https://s.glbimg.com/es/sde/f/2022/02/24/ee2dbbc844a7911e1c875b38e698c974_FORMATO.png,Avaí
35311,Bruno Cortez,1256,Avaí,"{'CA': 2, 'DS': 9, 'FC': 4, 'FD': 1, 'FF': 2, 'FS': 9, 'PI': 74, 'SG': 2}",72079.0,8.0,314,2.0,7.0,0.0,6.73,0.27,2.19,8.0,1.6,bruno-cortez,Bruno Cortez,B. Cortez,Bruno Cortês Barbosa,https://s.glbimg.com/es/sde/f/2022/02/23/da8da8af4eaf5969bda304828d27ac27_FORMATO.png,Avaí
43577,Vinícius Leite,1256,Avaí,"{'DS': 3, 'FD': 1, 'PI': 12}",93646.0,8.0,314,4.0,6.0,0.0,4.07,0.0,1.8,2.0,0.95,vinicius-leite,Vinícius Leite,V. Leite,Vinícius Leite Silva,https://s.glbimg.com/es/sde/f/2022/02/24/66cd59f9bbf0f80e5f8c20bf587e3daf_FORMATO.png,Avaí
20707,Bruno Silva,1256,Avaí,"{'CA': 3, 'DS': 28, 'FC': 17, 'FF': 3, 'FS': 12, 'PI': 49}",68698.0,8.0,314,4.0,7.0,0.0,8.11,0.0,4.14,7.0,5.07,bruno-silva,Bruno Silva,B. Silva,Bruno César Pereira da Silva,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,Avaí
37167,Douglas Friedrich,1256,Avaí,"{'CA': 1, 'CV': 1, 'DE': 18, 'FC': 1, 'FS': 2, 'GS': 12, 'SG': 2}",78584.0,8.0,314,1.0,3.0,0.0,5.61,-0.53,1.59,8.0,-0.8,douglas-friedrich,Douglas Friedrich,D. Friedrich,Douglas Alan Schuck Friedrich,https://s.glbimg.com/es/sde/f/2022/02/21/7b6f0fbda2d34c444987ce7f2b8cc649_FORMATO.png,Avaí
91581,Dentinho,1256,Avaí,"{'CA': 4, 'DS': 5, 'FC': 4, 'FD': 2, 'FS': 8, 'PI': 12, 'PS': 1}",115806.0,8.0,314,5.0,6.0,0.0,1.4,-0.36,1.0,7.0,0.8,dentinho,Dentinho,Dentinho,Lucas Batista Félix,https://s.glbimg.com/es/sde/f/2022/04/06/6387892e2b5f72962c08bb7ea920a712_FORMATO.png,Avaí
