,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
28,440458,85,Goal,0.8059999847412109,0.18600000381469728,0.04298888146877289,Danny Blum,a,5236,DirectFreekick,2021,LeftFoot,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,,Standard,2021-10-31,96.71999816894531,14.880000305175784,Bochum,Borussia M.Gladbach,VfL BOCHUM,Borussia Monchengladbach
109,440312,11,BlockedShot,0.794000015258789,0.7390000152587891,0.020324449986219406,Ruben Vargas,h,7810,OpenPlay,2021,RightFoot,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Daniel Caligiuri,Pass,2021-10-31,95.28000183105469,59.12000122070313,Augsburg,VfB Stuttgart,FC Augsburg,VfB Stuttgart
27,440444,32,SavedShot,0.8969999694824219,0.5520000076293945,0.02691194787621498,Sebastian Polter,a,7881,OpenPlay,2021,Head,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,Eduard Löwen,Aerial,2021-10-31,107.63999633789064,44.16000061035156,Bochum,Borussia M.Gladbach,VfL BOCHUM,Borussia Monchengladbach
194,440336,80,Goal,0.825,0.33799999237060546,0.05362270027399063,Alfred Finnbogason,h,2655,OpenPlay,2021,RightFoot,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Andi Zeqiri,Pass,2021-10-31,99.0,27.03999938964844,Augsburg,VfB Stuttgart,FC Augsburg,VfB Stuttgart
40,440327,50,BlockedShot,0.889000015258789,0.3529999923706055,0.07017968595027924,Orel Mangala,a,6088,OpenPlay,2021,RightFoot,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Hamadi Al Ghaddioui,Pass,2021-10-31,106.68000183105468,28.239999389648435,VfB Stuttgart,Augsburg,VfB Stuttgart,FC Augsburg
14,440436,1,BlockedShot,0.7580000305175781,0.40400001525878904,0.02027754671871662,Kouadio Kone,h,7482,OpenPlay,2021,RightFoot,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,Joe Scally,Pass,2021-10-31,90.96000366210937,32.32000122070312,Borussia M.Gladbach,Bochum,Borussia Monchengladbach,VfL BOCHUM
0,440454,70,MissedShots,0.96,0.415,0.12990495562553406,Erhan Masovic,a,9709,FromCorner,2021,RightFoot,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,,Rebound,2021-10-31,115.19999999999999,33.2,Bochum,Borussia M.Gladbach,VfL BOCHUM,Borussia Monchengladbach
40,440314,19,BlockedShot,0.840999984741211,0.639000015258789,0.15259723365306854,Mateo Klimowicz,a,8809,OpenPlay,2021,LeftFoot,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Orel Mangala,TakeOn,2021-10-31,100.9199981689453,51.120001220703124,VfB Stuttgart,Augsburg,VfB Stuttgart,FC Augsburg
41,440329,54,SavedShot,0.9640000152587891,0.6869999694824219,0.06745254993438721,Mateo Klimowicz,a,8809,OpenPlay,2021,LeftFoot,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Orel Mangala,TakeOn,2021-10-31,115.6800018310547,54.959997558593756,VfB Stuttgart,Augsburg,VfB Stuttgart,FC Augsburg
110,440443,26,MissedShots,0.7819999694824219,0.6229999923706054,0.04645810276269913,Ramy Bensebaini,h,3349,OpenPlay,2021,RightFoot,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,Breel Embolo,LayOff,2021-10-31,93.83999633789062,49.83999938964844,Borussia M.Gladbach,Bochum,Borussia Monchengladbach,VfL BOCHUM
401,440438,4,BlockedShot,0.895,0.5879999923706055,0.04910149425268173,Lars Stindl,h,208,FromCorner,2021,LeftFoot,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,Jonas Hofmann,Cross,2021-10-31,107.39999999999998,47.03999938964844,Borussia M.Gladbach,Bochum,Borussia Monchengladbach,VfL BOCHUM
56,440318,33,MissedShots,0.915,0.46599998474121096,0.08535190671682358,Marc-Oliver Kempf,a,4291,FromCorner,2021,LeftFoot,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Borna Sosa,Cross,2021-10-31,109.80000000000001,37.27999877929688,VfB Stuttgart,Augsburg,VfB Stuttgart,FC Augsburg
55,440319,33,BlockedShot,0.9030000305175782,0.46799999237060547,0.039336126297712326,Marc-Oliver Kempf,a,4291,FromCorner,2021,Head,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,,Rebound,2021-10-31,108.36000366210938,37.439999389648435,VfB Stuttgart,Augsburg,VfB Stuttgart,FC Augsburg
523,440450,52,MissedShots,0.85,0.5709999847412109,0.07910412549972534,Alassane Pléa,h,3310,OpenPlay,2021,RightFoot,17601,Borussia M.Gladbach,Bochum,2,1,2021-10-31 16:30:00,,None,2021-10-31,102.0,45.679998779296874,Borussia M.Gladbach,Bochum,Borussia Monchengladbach,VfL BOCHUM
11,440338,89,MissedShots,0.894000015258789,0.5270000076293946,0.056171439588069916,Hamadi Al Ghaddioui,a,8810,FromCorner,2021,Head,17598,Augsburg,VfB Stuttgart,4,1,2021-10-31 14:30:00,Pascal Stenzel,Cross,2021-10-31,107.28000183105468,42.16000061035157,VfB Stuttgart,Augsburg,VfB Stuttgart,FC Augsburg
180,440669,1,BlockedShot,0.764000015258789,0.4470000076293945,0.026690825819969177,Jonas Hofmann,a,320,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Breel Embolo,Pass,2021-11-05,91.68000183105468,35.76000061035156,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
114,440679,41,MissedShots,0.9309999847412109,0.529000015258789,0.3606407046318054,Ramy Bensebaini,a,3349,FromCorner,2021,Head,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Luca Netz,Cross,2021-11-05,111.71999816894531,42.320001220703126,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
10,440676,34,SavedShot,0.8530000305175781,0.6270000076293946,0.023166514933109283,Luca Netz,a,8401,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,,Aerial,2021-11-05,102.36000366210938,50.16000061035156,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
113,440677,37,SavedShot,0.7319999694824219,0.615999984741211,0.018577948212623596,Ramy Bensebaini,a,3349,OpenPlay,2021,LeftFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Marcus Thuram,Pass,2021-11-05,87.83999633789062,49.279998779296875,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
61,440671,9,MissedShots,0.9119999694824219,0.5459999847412109,0.0994582325220108,Jonathan Burkardt,h,7108,OpenPlay,2021,Head,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Aarón Martín,Cross,2021-11-05,109.43999633789063,43.679998779296874,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
62,440675,22,MissedShots,0.9540000152587891,0.4470000076293945,0.07268030941486359,Jonathan Burkardt,h,7108,FromCorner,2021,Head,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Aarón Martín,Aerial,2021-11-05,114.4800018310547,35.76000061035156,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
67,440696,75,Goal,0.875,0.35400001525878905,0.053466007113456726,Silvan Widmer,h,1139,OpenPlay,2021,LeftFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,,None,2021-11-05,105.0,28.320001220703123,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
524,440682,46,BlockedShot,0.8419999694824218,0.48900001525878906,0.12410710006952286,Alassane Pléa,a,3310,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Florian Neuhaus,TakeOn,2021-11-05,101.03999633789063,39.120001220703124,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
232,440683,48,MissedShots,0.8780000305175781,0.34200000762939453,0.06044190749526024,Marcus Thuram,a,5992,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Florian Neuhaus,Pass,2021-11-05,105.36000366210938,27.360000610351566,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
51,440699,91,SavedShot,0.7759999847412109,0.6079999923706054,0.026685815304517746,Leandro Barreiro Martins,h,7109,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Aarón Martín,Pass,2021-11-05,93.11999816894532,48.63999938964844,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
63,440688,61,MissedShots,0.774000015258789,0.6409999847412109,0.020942000672221184,Jonathan Burkardt,h,7108,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,,None,2021-11-05,92.8800018310547,51.279998779296875,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
64,440691,64,SavedShot,0.909000015258789,0.32799999237060545,0.05444082245230675,Jonathan Burkardt,h,7108,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Karim Onisiwo,BallTouch,2021-11-05,109.08000183105469,26.239999389648432,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
55,440687,60,MissedShots,0.919000015258789,0.5059999847412109,0.048902031034231186,Alexander Hack,h,52,FromCorner,2021,Head,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Aarón Martín,Aerial,2021-11-05,110.28000183105469,40.47999877929687,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
50,440698,89,MissedShots,0.7819999694824219,0.5029999923706054,0.025256559252738953,Leandro Barreiro Martins,h,7109,FromCorner,2021,LeftFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,,None,2021-11-05,93.83999633789062,40.23999938964844,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
189,440685,46,MissedShots,0.965999984741211,0.41700000762939454,0.09492336213588715,Karim Onisiwo,h,2631,FromCorner,2021,LeftFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Alexander Hack,BallTouch,2021-11-05,115.91999816894531,33.36000061035156,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
188,440681,43,SavedShot,0.7830000305175782,0.740999984741211,0.017229685559868813,Karim Onisiwo,h,2631,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Jean-Paul Boëtius,TakeOn,2021-11-05,93.96000366210939,59.27999877929688,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
187,440673,16,BlockedShot,0.8580000305175781,0.4520000076293945,0.013718372210860252,Karim Onisiwo,h,2631,SetPiece,2021,Head,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Stefan Bell,CornerAwarded,2021-11-05,102.96000366210937,36.16000061035156,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
186,440672,14,BlockedShot,0.9230000305175782,0.41,0.12861217558383942,Karim Onisiwo,h,2631,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Jonathan Burkardt,Pass,2021-11-05,110.76000366210938,32.8,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
525,440686,55,SavedShot,0.755,0.6229999923706054,0.03834828734397888,Alassane Pléa,a,3310,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,,TakeOn,2021-11-05,90.60000000000001,49.83999938964844,Borussia M.Gladbach,Mainz 05,Borussia Monchengladbach,FSV Mainz 05
3,440695,73,SavedShot,0.6909999847412109,0.40299999237060546,0.013280573301017284,Anton Stach,h,9910,OpenPlay,2021,RightFoot,17610,Mainz 05,Borussia M.Gladbach,1,1,2021-11-05 19:30:00,Karim Onisiwo,Pass,2021-11-05,82.91999816894531,32.23999938964844,Mainz 05,Borussia M.Gladbach,FSV Mainz 05,Borussia Monchengladbach
