,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
14,426007,86,MissedShots,0.7480000305175781,0.29100000381469726,0.009880874305963516,Max Aarons,h,7688,OpenPlay,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Kieran Dowell,Pass,2021-08-14,89.76000366210937,23.280000305175783,Norwich,Liverpool,Norwich,Liverpool
60,425820,87,MissedShots,0.9440000152587891,0.33,0.008357822895050049,Matej Vydra,h,1017,OpenPlay,2021,Head,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Charlie Taylor,Aerial,2021-08-14,113.28000183105469,26.400000000000002,Burnley,Brighton,Burnley,Brighton
59,425819,84,BlockedShot,0.8080000305175781,0.4640000152587891,0.015838870778679848,Matej Vydra,h,1017,OpenPlay,2021,LeftFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,,Aerial,2021-08-14,96.96000366210937,37.12000122070313,Burnley,Brighton,Burnley,Brighton
321,425907,96,Goal,0.885,0.5,0.7611688375473022,Danny Ings,a,986,Penalty,2021,RightFoot,16382,Watford,Aston Villa,3,2,2021-08-14 14:00:00,,Standard,2021-08-14,106.2,40.0,Aston Villa,Watford,Aston Villa,Watford
273,425876,64,MissedShots,0.9180000305175782,0.555,0.08631426841020584,Raúl Jiménez,a,4105,OpenPlay,2021,Head,16381,Leicester,Wolverhampton Wanderers,1,0,2021-08-14 14:00:00,Ki-Jana Hoever,Cross,2021-08-14,110.16000366210936,44.4,Wolverhampton Wanderers,Leicester,Wolves,Leicester
225,425903,82,BlockedShot,0.8819999694824219,0.654000015258789,0.08072580397129059,Leon Bailey,a,5221,OpenPlay,2021,RightFoot,16382,Watford,Aston Villa,3,2,2021-08-14 14:00:00,Jacob Ramsey,Pass,2021-08-14,105.83999633789062,52.32000122070312,Aston Villa,Watford,Aston Villa,Watford
255,425896,42,MissedShots,0.7380000305175781,0.5259999847412109,0.02301330864429474,Juraj Kucka,h,1123,OpenPlay,2021,LeftFoot,16382,Watford,Aston Villa,3,2,2021-08-14 14:00:00,Ismaila Sarr,Pass,2021-08-14,88.56000366210938,42.079998779296865,Watford,Aston Villa,Watford,Aston Villa
293,425832,46,SavedShot,0.9109999847412109,0.71,0.07581831514835358,Marcos Alonso,h,1621,OpenPlay,2021,LeftFoot,16379,Chelsea,Crystal Palace,3,0,2021-08-14 14:00:00,Jorginho,Chipped,2021-08-14,109.3199981689453,56.8,Chelsea,Crystal Palace,Chelsea,Crystal Palace
271,425850,50,SavedShot,0.9819999694824219,0.5259999847412109,0.14970332384109497,Dominic Calvert-Lewin,h,5555,OpenPlay,2021,RightFoot,16380,Everton,Southampton,3,1,2021-08-14 14:00:00,Michael Keane,BallTouch,2021-08-14,117.83999633789062,42.079998779296865,Everton,Southampton,Everton,Southampton
99,425812,57,MissedShots,0.924000015258789,0.35,0.07632418721914291,Leandro Trossard,a,7698,OpenPlay,2021,LeftFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Steven Alzate,Pass,2021-08-14,110.88000183105468,27.999999999999996,Brighton,Burnley,Brighton,Burnley
6,426006,86,SavedShot,0.9619999694824218,0.509000015258789,0.11366669088602066,Adam Idah,h,8021,SetPiece,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Grant Hanley,None,2021-08-14,115.43999633789062,40.720001220703125,Norwich,Liverpool,Norwich,Liverpool
173,425977,10,SavedShot,0.9130000305175782,0.5109999847412109,0.22182561457157135,Diogo Jota,a,6854,FromCorner,2021,Head,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Naby Keita,Chipped,2021-08-14,109.56000366210938,40.87999877929687,Liverpool,Norwich,Liverpool,Norwich
174,425984,25,Goal,0.8830000305175781,0.45299999237060545,0.385102778673172,Diogo Jota,a,6854,OpenPlay,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Mohamed Salah,Pass,2021-08-14,105.96000366210939,36.23999938964844,Liverpool,Norwich,Liverpool,Norwich
124,425802,35,ShotOnPost,0.9730000305175781,0.44099998474121094,0.38134732842445374,Ben Mee,h,1654,FromCorner,2021,Head,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,,None,2021-08-14,116.76000366210937,35.279998779296875,Burnley,Brighton,Burnley,Brighton
217,425800,30,SavedShot,0.8480000305175781,0.524000015258789,0.09369844943284988,Jay Rodriguez,h,844,OpenPlay,2021,RightFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Chris Wood,BallTouch,2021-08-14,101.76000366210938,41.92000122070312,Burnley,Brighton,Burnley,Brighton
139,425989,34,MissedShots,0.8719999694824219,0.5579999923706055,0.047449368983507156,Virgil van Dijk,a,833,FromCorner,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,James Milner,Cross,2021-08-14,104.63999633789061,44.63999938964844,Liverpool,Norwich,Liverpool,Norwich
124,425641,25,MissedShots,0.9109999847412109,0.545,0.10462424904108047,Patrick Bamford,a,822,SetPiece,2021,Head,16377,Manchester United,Leeds,5,1,2021-08-14 11:30:00,Raphinha,Cross,2021-08-14,109.3199981689453,43.6,Leeds,Manchester United,Leeds,Manchester United
